weather_date,temp_max,temp_avg,temp_min,weather_code,precipitation
2013-01-01,39.7,36.8,32.2,3,0.0
2013-01-02,33.2,28.4,24.4,3,0.0
2013-01-03,33.9,27.8,23.0,3,0.0
2013-01-04,37.5,32.0,27.7,3,0.0
2013-01-05,40.8,33.4,28.8,3,0.0
2013-01-06,47.1,36.8,29.2,73,0.02
2013-01-07,46.1,37.1,30.8,3,0.0
2013-01-08,47.3,36.1,28.9,3,0.0
2013-01-09,50.5,40.9,32.0,51,0.008
2013-01-10,49.1,41.6,35.7,3,0.0
2013-01-11,47.1,39.7,31.5,55,0.323
2013-01-12,52.1,45.4,38.9,51,0.008
2013-01-13,50.1,45.8,42.0,51,0.004
2013-01-14,58.8,53.7,46.3,53,0.055
2013-01-15,43.7,39.3,37.4,61,0.283
2013-01-16,38.4,36.4,33.9,63,0.587
2013-01-17,44.1,39.5,35.7,71,0.028
2013-01-18,35.0,32.5,27.7,71,0.024
2013-01-19,47.9,37.2,28.5,0,0.0
2013-01-20,53.9,42.8,32.8,1,0.0
2013-01-21,36.7,31.2,27.7,73,0.039
2013-01-22,29.1,21.7,18.0,2,0.0
2013-01-23,22.7,17.7,13.3,3,0.0
2013-01-24,26.0,20.5,15.8,3,0.0
2013-01-25,25.5,20.1,15.7,73,0.075
2013-01-26,30.3,23.2,17.8,2,0.0
2013-01-27,35.7,25.5,18.3,3,0.0
2013-01-28,37.7,31.2,24.5,73,0.193
2013-01-29,50.7,43.2,38.0,3,0.0
2013-01-30,64.2,53.9,41.9,51,0.012
2013-01-31,60.2,45.3,31.5,63,0.689
2013-02-01,31.4,29.1,25.4,71,0.0
2013-02-02,29.5,24.5,18.8,71,0.016
2013-02-03,33.2,27.9,23.9,71,0.008
2013-02-04,32.5,27.3,22.8,71,0.004
2013-02-05,36.4,31.6,28.5,71,0.028
2013-02-06,39.9,32.6,27.2,3,0.0
2013-02-07,36.6,30.3,25.9,3,0.0
2013-02-08,41.6,35.9,30.6,73,0.709
2013-02-09,33.4,29.6,23.5,73,0.142
2013-02-10,39.3,27.8,17.8,3,0.0
2013-02-11,50.1,42.5,30.6,63,0.374
2013-02-12,47.5,40.5,33.1,3,0.0
2013-02-13,47.3,36.9,28.5,73,0.126
2013-02-14,47.4,37.3,28.1,73,0.071
2013-02-15,55.6,41.8,32.4,3,0.0
2013-02-16,39.7,35.7,32.2,73,0.098
2013-02-17,31.9,29.1,23.0,3,0.0
2013-02-18,36.7,27.0,20.2,3,0.0
2013-02-19,44.4,37.4,29.1,61,0.228
2013-02-20,35.4,31.7,27.6,3,0.0
2013-02-21,36.6,29.1,24.0,0,0.0
2013-02-22,37.8,31.6,26.0,71,0.0
2013-02-23,44.9,39.4,33.6,53,0.122
2013-02-24,49.9,40.2,32.7,3,0.0
2013-02-25,45.6,37.0,29.5,3,0.0
2013-02-26,45.7,37.5,28.5,53,0.094
2013-02-27,50.5,45.6,41.4,63,0.402
2013-02-28,45.9,41.0,35.8,51,0.012
2013-03-01,45.6,38.7,32.3,3,0.0
2013-03-02,38.8,34.5,30.2,3,0.0
2013-03-03,39.7,33.4,28.6,3,0.0
2013-03-04,41.2,33.4,27.8,1,0.0
2013-03-05,46.8,36.9,29.5,3,0.0
2013-03-06,40.0,36.9,34.2,73,0.386
2013-03-07,47.6,39.0,33.7,73,0.035
2013-03-08,44.3,37.6,32.1,73,0.098
2013-03-09,58.4,43.3,32.0,1,0.0
2013-03-10,56.1,42.4,30.4,3,0.0
2013-03-11,59.3,46.2,34.8,3,0.0
2013-03-12,55.2,52.0,44.7,63,0.854
2013-03-13,49.2,42.4,35.3,51,0.016
2013-03-14,43.2,36.2,30.6,3,0.0
2013-03-15,50.9,38.7,28.8,71,0.0
2013-03-16,42.0,37.5,34.7,73,0.094
2013-03-17,42.9,36.1,28.1,3,0.0
2013-03-18,39.2,34.2,30.2,75,0.39
2013-03-19,50.1,41.2,36.6,61,0.169
2013-03-20,47.3,38.2,30.9,3,0.0
2013-03-21,40.0,34.0,30.0,71,0.004
2013-03-22,42.1,34.6,28.6,71,0.0
2013-03-23,46.5,37.1,29.2,3,0.0
2013-03-24,46.8,37.5,27.9,3,0.0
2013-03-25,37.7,35.7,34.1,75,0.406
2013-03-26,50.5,40.0,29.2,51,0.008
2013-03-27,50.3,41.2,32.6,3,0.0
2013-03-28,50.6,41.5,33.4,51,0.004
2013-03-29,52.2,42.5,32.1,3,0.0
2013-03-30,56.0,44.4,31.8,3,0.0
2013-03-31,56.4,45.2,34.6,61,0.185
2013-04-01,60.0,48.8,40.0,51,0.012
2013-04-02,44.3,38.3,31.5,3,0.0
2013-04-03,46.3,38.2,29.8,3,0.0
2013-04-04,51.3,39.0,27.7,3,0.0
2013-04-05,62.3,47.3,36.6,3,0.0
2013-04-06,52.2,43.0,34.1,1,0.0
2013-04-07,61.0,48.6,37.0,3,0.0
2013-04-08,74.7,60.4,47.4,3,0.0
2013-04-09,81.2,68.4,57.4,3,0.0
2013-04-10,85.5,72.5,62.3,53,0.028
2013-04-11,70.5,62.0,51.0,51,0.004
2013-04-12,62.6,48.7,45.9,63,0.713
2013-04-13,60.9,51.1,41.3,51,0.008
2013-04-14,60.3,51.3,40.6,3,0.0
2013-04-15,60.8,51.9,45.8,3,0.0
2013-04-16,70.5,59.0,47.8,3,0.0
2013-04-17,69.5,61.9,56.9,53,0.043
2013-04-18,66.7,58.9,53.2,3,0.0
2013-04-19,77.1,66.4,57.7,63,0.327
2013-04-20,57.2,52.5,47.8,63,0.48
2013-04-21,53.7,45.7,37.1,3,0.0
2013-04-22,51.9,45.0,37.0,3,0.0
2013-04-23,51.0,46.7,41.6,51,0.004
2013-04-24,70.2,55.9,39.2,3,0.0
2013-04-25,63.4,54.0,44.2,51,0.008
2013-04-26,63.3,53.3,44.3,0,0.0
2013-04-27,67.3,54.9,41.5,0,0.0
