latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.964848,-75.1676,16,-14400,America/New_York,GMT-4
,,,,,
time,temperature_2m_max,temperature_2m_mean,temperature_2m_min,weather_code (wmo code),precipitation_sum (inch)
1/1/2013,39.7,36.8,32.2,3,0
1/2/2013,33.2,28.4,24.4,3,0
1/3/2013,33.9,27.8,23,3,0
1/4/2013,37.5,32,27.7,3,0
1/5/2013,40.8,33.4,28.8,3,0
1/6/2013,47.1,36.8,29.2,73,0.02
1/7/2013,46.1,37.1,30.8,3,0
1/8/2013,47.3,36.1,28.9,3,0
1/9/2013,50.5,40.9,32,51,0.008
1/10/2013,49.1,41.6,35.7,3,0
1/11/2013,47.1,39.7,31.5,55,0.323
1/12/2013,52.1,45.4,38.9,51,0.008
1/13/2013,50.1,45.8,42,51,0.004
1/14/2013,58.8,53.7,46.3,53,0.055
1/15/2013,43.7,39.3,37.4,61,0.283
1/16/2013,38.4,36.4,33.9,63,0.587
1/17/2013,44.1,39.5,35.7,71,0.028
1/18/2013,35,32.5,27.7,71,0.024
1/19/2013,47.9,37.2,28.5,0,0
1/20/2013,53.9,42.8,32.8,1,0
1/21/2013,36.7,31.2,27.7,73,0.039
1/22/2013,29.1,21.7,18,2,0
1/23/2013,22.7,17.7,13.3,3,0
1/24/2013,26,20.5,15.8,3,0
1/25/2013,25.5,20.1,15.7,73,0.075
1/26/2013,30.3,23.2,17.8,2,0
1/27/2013,35.7,25.5,18.3,3,0
1/28/2013,37.7,31.2,24.5,73,0.193
1/29/2013,50.7,43.2,38,3,0
1/30/2013,64.2,53.9,41.9,51,0.012
1/31/2013,60.2,45.3,31.5,63,0.689
2/1/2013,31.4,29.1,25.4,71,0
2/2/2013,29.5,24.5,18.8,71,0.016
2/3/2013,33.2,27.9,23.9,71,0.008
2/4/2013,32.5,27.3,22.8,71,0.004
2/5/2013,36.4,31.6,28.5,71,0.028
2/6/2013,39.9,32.6,27.2,3,0
2/7/2013,36.6,30.3,25.9,3,0
2/8/2013,41.6,35.9,30.6,73,0.709
2/9/2013,33.4,29.6,23.5,73,0.142
2/10/2013,39.3,27.8,17.8,3,0
2/11/2013,50.1,42.5,30.6,63,0.374
2/12/2013,47.5,40.5,33.1,3,0
2/13/2013,47.3,36.9,28.5,73,0.126
2/14/2013,47.4,37.3,28.1,73,0.071
2/15/2013,55.6,41.8,32.4,3,0
2/16/2013,39.7,35.7,32.2,73,0.098
2/17/2013,31.9,29.1,23,3,0
2/18/2013,36.7,27,20.2,3,0
2/19/2013,44.4,37.4,29.1,61,0.228
2/20/2013,35.4,31.7,27.6,3,0
2/21/2013,36.6,29.1,24,0,0
2/22/2013,37.8,31.6,26,71,0
2/23/2013,44.9,39.4,33.6,53,0.122
2/24/2013,49.9,40.2,32.7,3,0
2/25/2013,45.6,37,29.5,3,0
2/26/2013,45.7,37.5,28.5,53,0.094
2/27/2013,50.5,45.6,41.4,63,0.402
2/28/2013,45.9,41,35.8,51,0.012
3/1/2013,45.6,38.7,32.3,3,0
3/2/2013,38.8,34.5,30.2,3,0
3/3/2013,39.7,33.4,28.6,3,0
3/4/2013,41.2,33.4,27.8,1,0
3/5/2013,46.8,36.9,29.5,3,0
3/6/2013,40,36.9,34.2,73,0.386
3/7/2013,47.6,39,33.7,73,0.035
3/8/2013,44.3,37.6,32.1,73,0.098
3/9/2013,58.4,43.3,32,1,0
3/10/2013,56.1,42.4,30.4,3,0
3/11/2013,59.3,46.2,34.8,3,0
3/12/2013,55.2,52,44.7,63,0.854
3/13/2013,49.2,42.4,35.3,51,0.016
3/14/2013,43.2,36.2,30.6,3,0
3/15/2013,50.9,38.7,28.8,71,0
3/16/2013,42,37.5,34.7,73,0.094
3/17/2013,42.9,36.1,28.1,3,0
3/18/2013,39.2,34.2,30.2,75,0.39
3/19/2013,50.1,41.2,36.6,61,0.169
3/20/2013,47.3,38.2,30.9,3,0
3/21/2013,40,34,30,71,0.004
3/22/2013,42.1,34.6,28.6,71,0
3/23/2013,46.5,37.1,29.2,3,0
3/24/2013,46.8,37.5,27.9,3,0
3/25/2013,37.7,35.7,34.1,75,0.406
3/26/2013,50.5,40,29.2,51,0.008
3/27/2013,50.3,41.2,32.6,3,0
3/28/2013,50.6,41.5,33.4,51,0.004
3/29/2013,52.2,42.5,32.1,3,0
3/30/2013,56,44.4,31.8,3,0
3/31/2013,56.4,45.2,34.6,61,0.185
4/1/2013,60,48.8,40,51,0.012
4/2/2013,44.3,38.3,31.5,3,0
4/3/2013,46.3,38.2,29.8,3,0
4/4/2013,51.3,39,27.7,3,0
4/5/2013,62.3,47.3,36.6,3,0
4/6/2013,52.2,43,34.1,1,0
4/7/2013,61,48.6,37,3,0
4/8/2013,74.7,60.4,47.4,3,0
4/9/2013,81.2,68.4,57.4,3,0
4/10/2013,85.5,72.5,62.3,53,0.028
4/11/2013,70.5,62,51,51,0.004
4/12/2013,62.6,48.7,45.9,63,0.713
4/13/2013,60.9,51.1,41.3,51,0.008
4/14/2013,60.3,51.3,40.6,3,0
4/15/2013,60.8,51.9,45.8,3,0
4/16/2013,70.5,59,47.8,3,0
4/17/2013,69.5,61.9,56.9,53,0.043
4/18/2013,66.7,58.9,53.2,3,0
