business_id,name,latitude,longitude,stars,review_count,categories
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,39.9555052,-75.1555641,4.0,80,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries"
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,39.953949,-75.1432262,4.0,245,"Sushi Bars, Restaurants, Japanese"
ROeacJQwBeh05Rqg7F6TCg,BAP,39.943223,-75.162568,4.5,205,"Korean, Restaurants"
QdN72BWoyFypdGJhhI5r7g,Bar One,39.9398245705,-75.1574465632,4.0,65,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants"
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,40.0224662,-75.218314,3.0,41,"Pizza, Restaurants, Salad, Soup"
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,39.9625821,-75.1356571,3.5,65,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants"
ppFCk9aQkM338Rgwpl2F5A,Wawa,39.954573,-75.1948936,3.0,56,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores"
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,39.963077709,-75.1680274529,3.0,137,"Restaurants, Chinese"
WYYdQDjx-DsCanlP0DpImQ,J Sushi,39.9470334,-75.1574339,4.5,72,"Seafood, Restaurants, Sushi Bars, Japanese"
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,40.012141,-75.1150148,1.5,15,"Burgers, Restaurants, Fast Food"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,39.9385518,-75.1496356,4.5,183,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea"
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,39.9516153765,-75.2033457223,4.0,46,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,39.9563959,-75.2253784,4.5,66,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes"
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,39.9412993,-75.1477446,3.0,178,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars"
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,39.9389483,-75.1564078,4.0,79,"Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars"
dChRGpit9fM_kZK5pafNyA,The Love,39.9506555,-75.1708991,4.0,618,"Restaurants, American (New), Breakfast & Brunch, Burgers"
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,40.0520643,-75.1273939,4.5,351,"Korean, Restaurants"
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,39.9418766,-75.1451988,4.0,604,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants"
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,39.9535919923,-75.1794226902,3.5,163,"Restaurants, French"
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,40.0027825,-75.2222705,3.0,52,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)"
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,39.947207,-75.1572515,4.0,217,"Indian, Restaurants"
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,39.9408715785,-75.1510468125,4.0,166,"Restaurants, Cocktail Bars, American (New), Desserts, American (Traditional), Nightlife, Bars, Food"
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,40.08178,-75.0267907,4.0,80,"Event Planning & Services, American (Traditional), Restaurants, Food, Caterers, Fast Food, Chicken Shop, Breakfast & Brunch"
CPgWuWGZ4v2sZr5_-1kluw,Checkers,39.9719414,-75.159771,2.0,21,"Restaurants, Fast Food, Burgers"
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,39.960811,-75.1573883,4.0,31,"Bagels, Food, Breakfast & Brunch, Coffee & Tea, Restaurants, Burgers, Delis"
PW5eZM5RAQEhy3wgovChhQ,Cafe Victoria's,39.958422,-75.158257,3.0,29,"Food, Cafes, Restaurants, Coffee & Tea, Breakfast & Brunch"
kGjpBqAqG4mIuFSgU2KKEA,The Royal Indian Cuisine,39.948365,-75.1744997,4.0,28,"Restaurants, Indian"
kLSEk3qXY1KdtFjxHJ9pww,McDonald's,40.0884161,-74.9650112,1.5,20,"Restaurants, Fast Food, Food, Coffee & Tea, Burgers"
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,39.9403745,-75.1456109,3.5,44,"Nightlife, Bars, Beer, Wine & Spirits, Pubs, Irish, Food, Restaurants"
PdMXmOWDRHICAx6SLgu1dQ,24,39.9515211,-75.1798731,3.5,111,"Italian, Bars, Restaurants, Nightlife, Wine Bars, Breakfast & Brunch"
JomDoQafikclSVVCPkWjnA,Cedar Park Cafe,39.94796,-75.22198,4.0,301,"Diners, Restaurants, Sandwiches, Breakfast & Brunch, Vegetarian"
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,39.953291,-75.173645,4.0,65,"Restaurants, Delis, Salad, Sandwiches"
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,39.949603,-75.1649701595,3.5,149,"Steakhouses, Restaurants, Nightlife, Seafood, Bars, American (Traditional)"
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,39.9686973,-75.1606146,4.5,138,"Trinidadian, Caribbean, Restaurants, Seafood"
RrqRin8BYGrTlJbCDwtLzA,Wawa,39.9510885597,-75.1989988336,3.5,50,"Delis, Gas Stations, Food, Convenience Stores, Restaurants, Automotive, Coffee & Tea, Sandwiches"
IgNDlyLERBwFGphgcC5VDQ,Cosi,39.9487514826,-75.1604487143,2.5,63,"Sandwiches, Vegetarian, Pizza, Food, Coffee & Tea, Delis, Restaurants, American (New)"
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,39.955454,-75.1549,4.0,92,"Ramen, Restaurants, Japanese"
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,40.0352350987,-75.2167929785,3.0,54,"Restaurants, Pizza"
BxR5hjyBnJZrm_nnaCtGQw,The Lunar Inn,39.9822933,-75.1031599,4.5,29,"Bars, Food, Restaurants, Beer, Wine & Spirits, American (Traditional), Nightlife"
4TQMOy00KD_54xSFwKgMZw,Ndulge,40.025842293,-75.2243893677,3.5,15,"Restaurants, Thai, Food, Cafes, Cupcakes"
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,40.0603863,-75.0845897,4.5,116,"Chicken Wings, Nightlife, Bars, Delis, Food, Beer Gardens, Sandwiches, Beer Bar, Restaurants, Beer, Wine & Spirits, Gastropubs"
